서비스ID,정류소명,좌표(X),좌표(Y)
2252,초중리.한삼인,127.5704423,36.77528528
2556,초중리.한삼인,127.5714771,36.77601253
3901,추정1리,127.6079329,36.58953786
3902,추정1리,127.6084003,36.59015337
3905,추정3리,127.6191135,36.60217323
3906,추정3리,127.6194341,36.60289822
3903,추정3리(가래울),127.6167345,36.59938575
3904,추정3리(가래울),127.6163724,36.59926451
3949,추정3리(봉황골),127.621883,36.60548403
3950,추정3리(봉황골),127.6219081,36.60526009
3872,추정교,127.5908764,36.58418962
1885,추정교,127.5912412,36.58393159
2841,추정리(명당골),127.6046496,36.58714219
2840,추정리(오봉산골),127.6047373,36.58692322
2449,추학3리(모왕골),127.5377691,36.76433231
1886,추학리,127.5434382,36.76505918
1887,추학리,127.5432613,36.76495995
1686,충대병원장례식장,127.46044,36.6216139
1685,충대병원장례식장,127.461137,36.6217709
2407,충렬사,127.3907625,36.61960886
2408,충렬사,127.3907583,36.61988372
3297,충북경제자유구역청,127.3279658,36.63506121
3296,충북경제자유구역청,127.3277962,36.63527345
1638,충북고등학교,127.4829252,36.60895978
1889,충북공고,127.4331349,36.60997668
1890,충북공고앞,127.4321532,36.61070466
2657,충북공고앞,127.432002,36.61064889
2086,충북공업고등학교,127.4323583,36.6097512
2087,충북공업고등학교,127.4334875,36.6099665
1025,충북낙농농협,127.4988289,36.66496155
1026,충북낙농농협,127.4986301,36.66502727
2459,충북농업기술원,127.466193,36.72307272
3281,충북대약학대학,127.3248888,36.63587841
1891,충북대오송바이오캠퍼스,127.3263545,36.63676202
1678,충북대학교,127.4586631,36.62710305
1682,충북대학교,127.4559253,36.628267
1684,충북대학교병원,127.4629363,36.62386407
1672,충북대학교병원,127.4643144,36.62387315
1677,충북대학교병원,127.4635126,36.62550442
2065,충북대학교사범대학부설중.고등학교,127.4400313,36.62314636
1920,충북대학교입구,127.4522247,36.63453715
1919,충북대학교입구,127.454072,36.63443041
2001,충북대학교정문,127.4523259,36.63194956
2002,충북대학교정문,127.4522166,36.63207067
1683,충북대학교중문,127.4607411,36.63361262
1676,충북대학교중문,127.4604582,36.63363092
1674,충북대학교후문,127.4616897,36.63002892
1681,충북대학교후문,127.4615501,36.631234
1527,충북문화예술인회관,127.4825769,36.65353215
1526,충북문화예술인회관,127.4827275,36.65362576
1386,충북미래여성플라자,127.5082641,36.59827788
1387,충북미래여성플라자,127.5076686,36.59779554
4152,충북보건과학대사거리,127.5383706,36.71464238
4151,충북보건과학대사거리,127.538494,36.71442154
2769,충북보건과학대입구,127.5488717,36.69877082
2770,충북보건과학대입구,127.5484078,36.69884504
4155,충북보건과학대학교,127.5481664,36.69952424
4156,충북보건과학대학교,127.5480497,36.69963517
3285,충북보건환경연구원,127.3223464,36.63552712
1454,충북상업정보고등학교,127.4796819,36.66273129
1455,충북상업정보고등학교,127.4792047,36.6628718
2111,충북선거관리위원회,127.4259969,36.63224577
2110,충북선거관리위원회,127.4257757,36.63204565
4006,충북에너지고등학교,127.6578673,36.6375711
2026,충북지방조달청,127.4312448,36.63189179
3280,충북창조경제혁신센터,127.325597,36.63544844
3068,충북테크노파크,127.428878,36.72054175
3069,충북테크노파크,127.4288089,36.71935482
2680,충용늘푸른아파트,127.6005276,36.77176642
2592,충용늘푸른아파트,127.6006301,36.77186269
1893,충청대학교,127.3702578,36.62485997
3305,충청대학교,127.3685956,36.62450506
3380,충청대학교,127.3688897,36.6211204
2255,충청대학교,127.369131,36.62366761
2003,충청북도 교육도서관 임시청사,127.4501244,36.62955061
2004,충청북도 교육도서관 임시청사,127.4498691,36.62910899
1006,충청북도경찰청,127.5004543,36.67378542
1892,충청북도경찰청,127.5009661,36.67294416
1415,충청북도교육문화원,127.4822071,36.68296323
1416,충청북도교육문화원,127.4826879,36.6822885
3894,충청북도교육문화원입구,127.4817593,36.6838211
4065,충청북도교육청,127.4797544,36.60458407
1731,충청북도교육청,127.4807036,36.60568177
1730,충청북도교육청,127.4799294,36.60529464
4403,충혼탑,127.4215285,36.84719571
1941,코스모사원아파트,127.4538106,36.64529544
1942,코스모사원아파트,127.4539662,36.64506762
3053,코아루아파트후문,127.4254908,36.70799748
1151,코오롱하늘채아파트,127.38187,36.67065519
1894,코오롱하늘채아파트,127.3817074,36.67056335
1202,탑대성동행정복지센터,127.496963,36.63207738
1201,탑대성동행정복지센터,127.4971171,36.63218117
1208,탑동삼일맨션,127.5005789,36.6281016
1207,탑동삼일맨션,127.5001156,36.62792365
1204,탑동현대아파트,127.5008283,36.63282512
2487,탑리,127.4498575,36.7075868
4354,탑리,127.4515,36.709317
4353,탑리,127.451426,36.70946599
